x,y,z
146.9050,687.912,-2.928
147.6120,687.562,-3.027
148.2560,687.237,-3.122
148.8380,687.120,-3.147
149.3810,687.047,-3.145
150.0930,686.945,-3.127
150.8640,686.827,-3.128
151.4170,686.792,-3.159
151.9590,686.799,-3.164
152.5800,686.733,-3.132
153.2660,686.819,-3.142
153.7730,686.733,-3.096
154.3990,686.772,-3.145
155.1570,686.764,-3.146
155.9530,686.823,-3.184
156.5080,686.844,-3.178
157.0390,686.882,-3.195
157.6190,686.896,-3.186
158.1470,687.028,-3.198
158.8530,687.170,-3.188
159.4720,687.140,-3.156
160.0610,687.218,-3.183
160.7880,687.079,-3.114
161.3530,686.939,-3.096
162.0140,686.761,-3.013
162.7610,686.723,-3.019
164.0130,686.541,-3.084
164.5550,686.551,-3.078
165.2110,686.602,-3.074
165.7200,686.633,-3.088
166.5140,686.690,-3.125
167.1320,686.700,-3.132
167.7390,686.730,-3.167
168.4730,686.830,-3.189
169.0780,686.924,-3.201
169.7470,687.056,-3.200
170.5850,687.126,-3.279
171.3560,687.277,-3.339
172.2270,687.584,-3.382
173.1950,687.656,-3.463
173.8450,687.851,-3.481
174.1230,687.644,-3.432
175.0000,687.608,-3.468
175.5500,687.652,-3.456
176.2010,687.580,-3.484
176.9670,687.692,-3.514
177.7150,688.054,-3.589
178.2210,688.259,-3.706
178.8210,688.498,-3.742
179.4850,688.391,-3.777
180.0120,688.415,-3.752
180.5780,688.343,-3.749
181.3350,688.236,-3.746
182.0480,688.163,-3.713
182.5530,688.122,-3.732
183.3060,688.096,-3.734
183.9560,688.000,-3.693
184.5580,687.870,-3.729
185.2150,687.880,-3.753
185.8750,687.812,-3.759
186.4100,687.656,-3.788
187.0080,687.700,-3.755
187.6360,687.506,-3.765
188.1530,687.543,-3.767
188.8550,687.371,-3.823
189.4900,687.356,-3.799
190.0240,687.195,-3.842
190.5970,687.187,-3.816
191.3170,687.045,-3.854
191.8730,686.965,-3.852
192.3980,686.849,-3.827
192.9050,686.808,-3.826
193.6630,686.690,-3.840
194.1720,686.571,-3.836
194.7900,686.405,-3.838
195.4120,686.267,-3.857
196.0290,686.162,-3.879
196.6400,686.054,-3.901
197.3170,685.995,-3.884
198.0290,685.916,-3.872
198.6270,685.928,-3.889
199.4520,685.866,-3.886
200.1250,685.913,-3.875
200.8840,685.919,-3.852
201.4420,685.915,-3.875
202.0570,685.942,-3.878
202.6550,685.953,-3.884
203.3690,685.889,-3.882
203.8930,685.879,-3.908
204.5640,685.889,-3.912
205.2360,685.935,-3.918
205.7920,685.914,-3.918
206.9910,685.875,-3.939
207.7330,686.094,-3.830
208.4920,686.118,-3.824
209.0600,686.213,-3.829
209.7070,686.193,-3.842
210.3350,686.195,-3.848
210.7180,686.221,-3.717
211.2560,686.307,-3.686
212.2830,686.342,-3.687
212.9230,686.382,-3.681
213.6380,686.439,-3.700
214.2920,686.402,-3.705
215.0680,686.091,-3.726
215.7370,686.159,-3.593
216.5030,686.170,-3.549
217.0320,686.125,-3.513
217.6120,686.149,-3.495
218.3450,686.124,-3.479
219.1710,686.108,-3.450
219.7960,686.134,-3.439
220.5550,686.153,-3.414
221.1360,686.191,-3.378
221.6460,686.211,-3.353
222.3420,686.250,-3.305
222.9470,686.288,-3.271
223.4500,686.322,-3.253
224.0420,686.373,-3.232
224.5900,686.401,-3.201
225.1580,686.467,-3.205
225.8960,686.518,-3.154
226.5140,686.579,-3.088
227.1850,686.637,-3.088
227.5150,686.676,-3.050
228.0520,686.756,-3.031
228.5880,686.788,-3.023
